nbh_name,nbh_code,dist_ka,always_excluded,uniqueid,ur,excluded
Imara Daima,128,15.30609,1,156307,.87596643,1
Embakasi,129,17.030069,1,156307,.46545446,1
JKIA,130,20.80258,1,156307,.25967556,1
Jamhuri/Ngong forest,131,3.946743,1,156307,.73614144,1
Kilimani,132,5.1528668,,156307,.46821123,1
Makadara,133,13.11601,,156307,.20939185,0
Makongeni/kaloleni,134,10.87289,,156307,.99774373,1
Kawangware,135,1.102172,1,156307,.62811404,1
Mathare,137,12.90981,,156307,.38825861,1
Mutuini,138,4.212841,1,156307,.14468507,1
Loresho,139,3.2051589,,156307,.44833028,1
Kibera,140,5.1540589,1,156307,.058088098,1
Nairobi National Park,141,15.3189,1,156307,.94584543,1
Kiserian,142,16.455379,1,156307,.14800958,1
Kitisuru,143,7.7834711,,156307,.67877913,1
Githurai,144,20.101919,1,156307,.91548264,1
Kahawa,145,21.95302,1,156307,.7669903,1
Mwiki,146,21.58477,1,156307,.97646683,1
Donholm,147,16.326929,1,156307,.6751985,1
Spring Valley,148,4.9153838,,156307,.67164689,1
Muthaiga,149,11.09676,,156307,.68095815,1
Karura Forest,150,9.1649675,1,156307,.94079995,1
Kariobangi North,151,15.18263,1,156307,.38318583,1
Kariobangi South,152,15.76096,1,156307,.73579317,1
Ruaraka,153,15.69644,1,156307,.55711323,1
Wilson,154,7.9595151,,156307,.7268889,1
Bomas,155,5.8734679,,156307,.90259778,1
Mugumoini,156,6.110126,,156307,.40111369,1
Langata,157,9.1848745,,156307,.41642645,1
GPO,158,7.5143542,,156307,.12022279,0
River road,159,8.3448696,,156307,.81326675,1
Kamkunji,160,9.8535252,,156307,.35743779,1
Ngara,161,8.3098402,,156307,.37301674,1
Eastleigh,162,11.20644,,156307,.76150167,1
City Square,163,8.2906084,,156307,.16210306,0
Makina,164,4.9382,1,156307,.73722142,1
Olympic,165,4.6379561,,156307,.82069784,1
Laini saba,166,6.0931458,1,156307,.4982866,1
Uthiru,167,5.799017,,156307,.12725423,0
Kangemi,168,1.574585,1,156307,.45051298,1
Kikuyu,169,9.5799513,,156307,.64979154,1
Kenyatta,170,6.9733181,,156307,.16701066,0
Komarock,171,17.74538,1,156307,.95651984,1
Kayole,172,18.665649,1,156307,.092528544,1
Ngong road,173,2.837245,,156307,.88936716,1
Hurlingham,174,5.4705768,,156307,.48369488,1
South B,101,10.48585,,156311,.30242896,1
South C,102,9.7029266,,156311,.13338296,0
Langata,103,7.5160408,,156311,.80490112,1
Westlands,104,7.18256,,156311,.68405682,1
Kileleshwa,105,4.0238171,,156311,.82466745,1
Ongata Rongai,106,13.29897,,156311,.68519032,1
Ngong,107,11.48542,,156311,.85453421,1
Karen,108,6.8866038,,156311,.3705759,1
Nakumatt Junction,109,2.213841,,156311,.47221053,1
Lavington,110,1.9570071,,156311,.29618573,1
Yaya Center,111,4.3688922,,156311,.13861316,0
Industrial area,112,12.33165,,156311,.16507685,0
Nyayo Stadium,113,8.4842806,,156311,.57379973,1
Umoja,114,15.97778,1,156311,.59544307,1
Dandora,115,17.66058,1,156311,.17355432,1
Prestige,116,4.5051332,,156311,.68047351,1
Athi river,117,32.232121,1,156311,.84384084,1
Kariobangi,118,15.54692,1,156311,.85312533,1
Woodley,119,3.963275,,156311,.98198432,1
Kasarani,120,19.54389,1,156311,.22642446,1
Mlolongo,121,26.496611,1,156311,.16175424,1
Upperhill,122,7.5210819,,156311,.83945191,1
Jamhuri Estate,123,2.897341,,156311,.95060575,1
Ngummo,124,6.5012379,,156311,.91876853,1
CBD,125,9.981698,,156311,.33878362,1
Syokimau,126,21.52162,1,156311,.20570426,1
Golf course estate,127,5.4355769,1,156311,.38001397,1
Imara Daima,128,15.30609,1,156311,.93145961,1
Embakasi,129,17.030069,1,156311,.54837573,1
JKIA,130,20.80258,1,156311,.66568613,1
Jamhuri/Ngong forest,131,3.946743,1,156311,.89439738,1
Kilimani,132,5.1528668,,156311,.52532011,1
Makadara,133,13.11601,,156311,.53638631,1
Makongeni/kaloleni,134,10.87289,,156311,.38905936,1
Kawangware,135,1.102172,1,156311,.73627263,1
Mathare,137,12.90981,,156311,.49570897,1
Mutuini,138,4.212841,1,156311,.80292016,1
Loresho,139,3.2051589,,156311,.74920875,1
Kibera,140,5.1540589,1,156311,.68826175,1
Nairobi National Park,141,15.3189,1,156311,.0098220278,1
Kiserian,142,16.455379,1,156311,.058278061,1
Kitisuru,143,7.7834711,,156311,.54335248,1
Githurai,144,20.101919,1,156311,.11175602,1
Kahawa,145,21.95302,1,156311,.49629429,1
Mwiki,146,21.58477,1,156311,.86949128,1
Donholm,147,16.326929,1,156311,.24789844,1
Spring Valley,148,4.9153838,,156311,.10515775,0
Muthaiga,149,11.09676,,156311,.048372701,0
Karura Forest,150,9.1649675,1,156311,.04126624,1
Kariobangi North,151,15.18263,1,156311,.94427699,1
Kariobangi South,152,15.76096,1,156311,.80098999,1
Ruaraka,153,15.69644,1,156311,.59770805,1
Wilson,154,7.9595151,,156311,.11411774,0
Bomas,155,5.8734679,,156311,.45114136,1
Mugumoini,156,6.110126,,156311,.81077248,1
Langata,157,9.1848745,,156311,.15038499,0
GPO,158,7.5143542,,156311,.6061222,1
River road,159,8.3448696,,156311,.30657852,1
Kamkunji,160,9.8535252,,156311,.75549155,1
Ngara,161,8.3098402,,156311,.84022492,1
Eastleigh,162,11.20644,,156311,.71541077,1
City Square,163,8.2906084,,156311,.747069,1
Makina,164,4.9382,1,156311,.26880127,1
Olympic,165,4.6379561,,156311,.61453944,1
Laini saba,166,6.0931458,1,156311,.84937871,1
Uthiru,167,5.799017,,156311,.20062907,0
Kangemi,168,1.574585,1,156311,.10169613,1
Kikuyu,169,9.5799513,,156311,.23870073,0
Kenyatta,170,6.9733181,,156311,.87671816,1
Komarock,171,17.74538,1,156311,.36229771,1
Kayole,172,18.665649,1,156311,.47855005,1
Ngong road,173,2.837245,,156311,.86203498,1
Hurlingham,174,5.4705768,,156311,.35157028,1
South B,101,10.48585,,156315,.69468033,1
South C,102,9.7029266,,156315,.048931614,0
Langata,103,7.5160408,,156315,.90136981,1
Westlands,104,7.18256,,156315,.23890767,0
Kileleshwa,105,4.0238171,,156315,.34973869,1
Ongata Rongai,106,13.29897,,156315,.42015839,1
Ngong,107,11.48542,,156315,.22520857,0
Karen,108,6.8866038,,156315,.3613556,1
Nakumatt Junction,109,2.213841,,156315,.28629613,1
Lavington,110,1.9570071,,156315,.6936571,1
Yaya Center,111,4.3688922,,156315,.044236489,0
Industrial area,112,12.33165,,156315,.19682629,0
Nyayo Stadium,113,8.4842806,,156315,.45298254,1
Umoja,114,15.97778,1,156315,.74608541,1
Dandora,115,17.66058,1,156315,.37809503,1
Prestige,116,4.5051332,,156315,.81765997,1
Athi river,117,32.232121,1,156315,.47468954,1
Kariobangi,118,15.54692,1,156315,.22950034,1
Woodley,119,3.963275,,156315,.49942908,1
